      Jour      Heure     Minute       Nobs Moyenne(ppm) 
         2          4          2         20        289 
         2          4          3         20        421 
         2          4          4         20        579 
         2          4          5         20        296 
         2          4          6         20        194 
         2          4          7         20        462 
         2          4          8         20        591 
         2          4          9         20        558 
         2          4         10         20        546 
         2          4         11         20        481 
         2          4         12         20        324 
         2          4         13         20        428 
         2          4         14         20        291 
         2          4         15         20        160 
         2          4         16         20        131 
         2          4         17         20        126 
         2          4         18         20        122 
         2          4         19         20        116 
         2          4         20         20        117 
         2          4         21         20        114 
         2          4         22         20        113 
         2          4         23         20        127 
         2          4         24         20        205 
         2          4         25         20        426 
         2          4         26         20        374 
         2          4         27         20        353 
         2          4         28         20        562 
         2          4         29         20        621 
         2          4         30         20        291 
         2          4         31         20        151 
         2          4         32         20        135 
         2          4         33         20        127 
         2          4         34         20        372 
         2          4         35         19        539 
         2          4         36         20        490 
         2          4         37         20        545 
         2          4         38         20        778 
         2          4         39         20        744 
         2          4         40         20        494 
         2          4         41         20        205 
         2          4         42         20        138 
         2          4         43         20        124 
         2          4         44         20        126 
         2          4         45         20        123 
         2          4         46         20        137 
         2          4         47         20        232 
         2          4         48         20        204 
         2          4         49         20        324 
         2          4         50         20        186 
         2          4         51         19        136 
         2          4         52         20        128 
         2          4         53         20        125 
         2          4         54         20        124 
         2          4         55         20        125 
         2          4         56         20        127 
         2          4         57         20        126 
         2          4         58         20        127 
         2          4         59         20        125 
         2          5          0         20        128 
         2          5          1         20        128 
         2          5          2         20        124 
         2          5          3         20        120 
         2          5          4         20        128 
         2          5          5         20        131 
         2          5          6         20        127 
         2          5          7         20        132 
         2          5          8         20        134 
         2          5          9         20        135 
         2          5         10         20        199 
         2          5         11         20        307 
         2          5         12         20        200 
         2          5         13         20        147 
         2          5         14         20        138 
         2          5         15         20        130 
         2          5         16         20        132 
         2          5         17         20        136 
         2          5         18         20        133 
         2          5         19         20        130 
         2          5         20         20        124 
         2          5         21         20        121 
         2          5         22         20        394 
         2          5         23         20        750 
         2          5         24         20        830 
         2          5         25         20        755 
         2          5         26         20        561 
         2          5         27         20        491 
         2          5         28         20        448 
         2          5         29         20        493 
         2          5         30         20        513 
         2          5         31         20        330 
         2          5         32         20        211 
         2          5         33         20        169 
         2          5         34         20        239 
         2          5         35         20        375 
         2          5         36         20        445 
         2          5         37         20        391 
         2          5         38         20        254 
         2          5         39         20        159 
         2          5         40         20        240 
         2          5         41         20        261 
         2          5         42         20        236 
         2          5         43         20        152 
         2          5         44         20        127 
         2          5         45         20        116 
         2          5         46         20        145 
         2          5         47         20        236 
         2          5         48         19        295 
         2          5         49         20        220 
         2          5         50         20        173 
         2          5         51         20        204 
         2          5         52         20        145 
         2          5         53         20        140 
         2          5         54         20        214 
         2          5         55         20        261 
         2          5         56         20        365 
         2          5         57         20        587 
         2          5         58         20        508 
         2          5         59         20        498 
         2          6          0         20        460 
         2          6          1         20        375 
         2          6          2         20        442 
         2          6          3         20        596 
         2          6          4         20        609 
         2          6          5         20        366 
         2          6          6         20        161 
         2          6          7         19        218 
         2          6          8         20        526 
         2          6          9         20        458 
         2          6         10         20        422 
         2          6         11         20        236 
         2          6         12         20        336 
         2          6         13         20        282 
         2          6         14         20        150 
         2          6         15         20        126 
         2          6         16         20        120 
         2          6         17         20        118 
         2          6         18         20        217 
         2          6         19         20        151 
         2          6         20         20        125 
         2          6         21         20        385 
         2          6         22         20        570 
         2          6         23         20        329 
         2          6         24         20        398 
         2          6         25         20        451 
         2          6         26         20        300 
         2          6         27         20        168 
         2          6         28         20        168 
         2          6         29         20        285 
         2          6         30         20        362 
         2          6         31         20        454 
         2          6         32         20        387 
         2          6         33         20        510 
         2          6         34         20        430 
         2          6         35         20        384 
         2          6         36         20        486 
         2          6         37         20        400 
         2          6         38         20        616 
         2          6         39         20        596 
         2          6         40         20        283 
         2          6         41         20        281 
         2          6         42         20        294 
         2          6         43         20        320 
         2          6         44         20        391 
         2          6         45         20        288 
         2          6         46         20        223 
         2          6         47         20        245 
         2          6         48         20        224 
         2          6         49         20        200 
         2          6         50         20        285 
         2          6         51         20        653 
         2          6         52         20        575 
         2          6         53         20        831 
         2          6         54         20        712 
         2          6         55         20        619 
         2          6         56         20        405 
         2          6         57         20        241 
         2          6         58         20        361 
         2          6         59         20        218 
         2          7          0         20        133 
         2          7          1         19        113 
         2          7          2         20        121 
         2          7          3         20        139 
         2          7          4         20        122 
         2          7          5         20        122 
         2          7          6         20        118 
         2          7          7         20        140 
         2          7          8         20        276 
         2          7          9         20        300 
         2          7         10         20        413 
         2          7         11         20        311 
         2          7         12         20        238 
         2          7         13         20        555 
         2          7         14         20        936 
         2          7         15         20       1171 
         2          7         16         20        971 
         2          7         17         20        768 
         2          7         18         19        394 
         2          7         19         20        231 
         2          7         20         20        214 
         2          7         21         20        177 
         2          7         22         20        163 
         2          7         23         20        134 
         2          7         24         20        133 
         2          7         25         20        158 
         2          7         26         20        270 
         2          7         27         20        165 
         2          7         28         20        148 
         2          7         29         20        189 
         2          7         30         20        161 
         2          7         31         20        176 
         2          7         32         20        282 
         2          7         33         20        180 
         2          7         34         20        263 
         2          7         35         20        225 
         2          7         36         20        199 
         2          7         37         20        196 
         2          7         38         20        192 
         2          7         39         20        153 
         2          7         40         20        542 
         2          7         41         20        258 
         2          7         42         20        153 
         2          7         43         20        132 
         2          7         44         20        127 
         2          7         45         20        127 
         2          7         46         20        125 
         2          7         47         20        128 
         2          7         48         20        124 
         2          7         49         20        121 
         2          7         50         20        122 
         2          7         51         20        350 
         2          7         52         20        361 
         2          7         53         20        304 
         2          7         54         20        369 
         2          7         55         20        239 
         2          7         56         20        620 
         2          7         57         20        778 
         2          7         58         20        573 
         2          7         59         20        640 
         2          8          0         20        646 
         2          8          1         20        527 
         2          8          2         19        649 
         2          8          3         20        629 
         2          8          4         20        573 
         2          8          5         20        327 
         2          8          6         20        470 
         2          8          7         20        469 
         2          8          8         20        503 
         2          8          9         20        561 
         2          8         10         20        610 
         2          8         11         20        703 
         2          8         12         20        520 
         2          8         13         20        521 
         2          8         14         20        751 
         2          8         15         20        482 
         2          8         16         20        382 
         2          8         17         20        519 
         2          8         18         20        575 
         2          8         19         20        891 
         2          8         20         20        666 
         2          8         21         20        755 
         2          8         22         20        543 
         2          8         23         20        348 
         2          8         24         20        267 
         2          8         25         20        728 
         2          8         26         20        793 
         2          8         27         20        553 
         2          8         28         20        473 
         2          8         29         20        466 
         2          8         30         20        444 
         2          8         31         20        375 
         2          8         32         20        389 
         2          8         33         20       1108 
         2          8         34         20        948 
         2          8         35         20        973 
         2          8         36         20        753 
         2          8         37         20        472 
         2          8         38         20        368 
         2          8         39         20        642 
         2          8         40         20        651 
         2          8         41         20        758 
         2          8         42         20        721 
         2          8         43         20        838 
         2          8         44         20        664 
         2          8         45         20        415 
         2          8         46         20        343 
         2          8         47         19        347 
         2          8         48         20        269 
         2          8         49         20        252 
         2          8         50         20        225 
         2          8         51         20        251 
         2          8         52         20        332 
         2          8         53         20        368 
         2          8         54         20        273 
         2          8         55         20        404 
         2          8         56         20        730 
         2          8         57         20        500 
         2          8         58         20        564 
         2          8         59         20        551 
         2          9          0         20        372 
         2          9          1         20        477 
         2          9          2         20        433 
         2          9          3         20        417 
         2          9          4         20        494 
         2          9          5         20        280 
         2          9          6         20        503 
         2          9          7         20        712 
         2          9          8         20        592 
         2          9          9         20        594 
         2          9         10         20        471 
         2          9         11         20        590 
         2          9         12         20        487 
         2          9         13         20        333 
         2          9         14         20        365 
         2          9         15         20        598 
         2          9         16         20        587 
         2          9         17         20        603 
         2          9         18         20        516 
         2          9         19         19        294 
         2          9         20         20        293 
         2          9         21         20        697 
         2          9         22         20        475 
         2          9         23         20        297 
         2          9         24         20        295 
         2          9         25         20        337 
         2          9         26         20        196 
         2          9         27         20        152 
         2          9         28         20        132 
         2          9         29         20        129 
         2          9         30         20        129 
         2          9         31         20        132 
         2          9         32         20        126 
         2          9         33         20        125 
         2          9         34         20        127 
         2          9         35         20        129 
         2          9         36         20        124 
         2          9         37         20        132 
         2          9         38         20        124 
         2          9         39         20        251 
         2          9         40         20        863 
         2          9         41         20       1149 
         2          9         42         20        745 
         2          9         43         20        701 
         2          9         44         20        508 
         2          9         45         20        216 
         2          9         46         20        156 
         2          9         47         20        201 
         2          9         48         20        887 
         2          9         49         20        773 
         2          9         50         20        839 
         2          9         51         20        673 
         2          9         52         20        598 
         2          9         53         20        315 
         2          9         54         20        177 
         2          9         55         20        145 
         2          9         56         20        139 
         2          9         57         20        137 
         2          9         58         20        196 
         2          9         59         20        734 
         2         10          0         20        697 
         2         10          1         20        551 
         2         10          2         20        380 
         2         10          3         20        497 
         2         10          4         20        406 
         2         10          5         20        236 
         2         10          6         20        643 
         2         10          7         20        624 
         2         10          8         20        660 
         2         10          9         20        538 
         2         10         10         20        552 
         2         10         11         20        636 
         2         10         12         20        329 
         2         10         13         20        164 
         2         10         14         19        337 
         2         10         15         20        680 
         2         10         16         20        471 
         2         10         17         19        406 
         2         10         18         20        360 
         2         10         19         20        223 
         2         10         20         20        477 
         2         10         21         20        710 
         2         10         22         20       1118 
         2         10         23         20       1234 
         2         10         24         20       1058 
         2         10         25         20        718 
         2         10         26         20        449 
         2         10         27         20        394 
         2         10         28         20        307 
         2         10         29         20        226 
         2         10         30         20        247 
         2         10         31         20        332 
         2         10         32         20        237 
         2         10         33         20        164 
         2         10         34         20        237 
         2         10         35         20       1056 
         2         10         36         20        917 
         2         10         37         20        849 
         2         10         38         20        706 
         2         10         39         20        833 
         2         10         40         20        593 
         2         10         41         20        870 
         2         10         42         20        978 
         2         10         43         20        869 
         2         10         44         20        969 
         2         10         45         20        760 
         2         10         46         20        282 
         2         10         47         20        169 
         2         10         48         20        194 
         2         10         49         20        150 
         2         10         50         20        142 
         2         10         51         20        139 
         2         10         52         20        140 
         2         10         53         20        318 
         2         10         54         20       1004 
         2         10         55         20        846 
         2         10         56         20        990 
         2         10         57         20       1054 
         2         10         58         20       1001 
         2         10         59         20        926 
         2         11          0         20        955 
         2         11          1         20        691 
         2         11          2         20        395 
         2         11          3         20        384 
         2         11          4         20        266 
         2         11          5         20        161 
         2         11          6         20        142 
         2         11          7         20        150 
         2         11          8         20        143 
         2         11          9         20        145 
         2         11         10         20        149 
         2         11         11         20        141 
         2         11         12         20        128 
         2         11         13         20        128 
         2         11         14         20        122 
         2         11         15         20        122 
         2         11         16         20        122 
         2         11         17         20        123 
         2         11         18         20        127 
         2         11         19         20        129 
         2         11         20         20        124 
         2         11         21         20        136 
         2         11         22         20        130 
         2         11         23         20        293 
         2         11         24         20        297 
         2         11         25         20        512 
         2         11         26         20        760 
         2         11         27         20        594 
         2         11         28         20        587 
         2         11         29         20        643 
         2         11         30         20        430 
         2         11         31         20        275 
         2         11         32         20        295 
         2         11         33         20        893 
         2         11         34         20        812 
         2         11         35         20        700 
         2         11         36         20        551 
         2         11         37         20        555 
         2         11         38         20        786 
         2         11         39         20        478 
         2         11         40         20        291 
         2         11         41         20        350 
         2         11         42         20        580 
         2         11         43         20        641 
         2         11         44         20        642 
         2         11         45         20        491 
         2         11         46         20        381 
         2         11         47         20        409 
         2         11         48         20        355 
         2         11         49         20        208 
         2         11         50         20        853 
         2         11         51         20       1190 
         2         11         52         20        954 
         2         11         53         20       1239 
         2         11         54         20       1036 
         2         11         55         20       1342 
         2         11         56         20       1223 
         2         11         57         20        891 
         2         11         58         20        351 
         2         11         59         20        250 
         2         12          0         20        346 
         2         12          1         20        492 
         2         12          2         20        523 
         2         12          3         20        625 
         2         12          4         20        727 
         2         12          5         20        807 
         2         12          6         20        855 
         2         12          7         20        790 
         2         12          8         20        946 
         2         12          9         20        744 
         2         12         10         20        691 
         2         12         11         20       1085 
         2         12         12         20       1107 
         2         12         13         20        955 
         2         12         14         20        872 
         2         12         15         20        878 
         2         12         16         20        877 
         2         12         17         20        364 
         2         12         18         20        179 
         2         12         19         20        221 
         2         12         20         20        780 
         2         12         21         20        745 
         2         12         22         20        878 
         2         12         23         20        757 
         2         12         24         20        452 
         2         12         25         20        273 
         2         12         26         20        407 
         2         12         27         20        779 
         2         12         28         20       1000 
         2         12         29         20        975 
         2         12         30         20        730 
         2         12         31         20        362 
         2         12         32         20        199 
         2         12         33         20        148 
         2         12         34         20        143 
         2         12         35         20        140 
         2         12         36         20        140 
         2         12         37         20        141 
         2         12         38         20        136 
         2         12         39         20        133 
         2         12         40         20        241 
         2         12         41         20        769 
         2         12         42         20       1188 
         2         12         43         20       1146 
         2         12         44         20       1233 
         2         12         45         20       1283 
         2         12         46         20       1016 
         2         12         47         20       1051 
         2         12         48         20        510 
         2         12         49         19        212 
         2         12         50         20        155 
         2         12         51         20        144 
         2         12         52         20        148 
         2         12         53         20        650 
         2         12         54         20        948 
         2         12         55         20        765 
         2         12         56         20        645 
         2         12         57         20        701 
         2         12         58         20        581 
         2         12         59         20        335 
         2         13          0         20        199 
         2         13          1         20        163 
         2         13          2         20        157 
         2         13          3         20        156 
         2         13          4         20        155 
         2         13          5         20        153 
         2         13          6         20        498 
         2         13          7         20        743 
         2         13          8         20        886 
         2         13          9         20        970 
         2         13         10         20        817 
         2         13         11         20        658 
         2         13         12         20        603 
         2         13         13         20        418 
         2         13         14         20        258 
         2         13         15         20        342 
         2         13         16         20        563 
         2         13         17         20        373 
         2         13         18         20        471 
         2         13         19         20        507 
         2         13         20         20        225 
         2         13         21         20        183 
         2         13         22         20        165 
         2         13         23         20        297 
         2         13         24         20        330 
         2         13         25         20        254 
         2         13         26         20        282 
         2         13         27         20        290 
         2         13         28         20        372 
         2         13         29         20        453 
         2         13         30         20        385 
         2         13         31         20        370 
         2         13         32         20        382 
         2         13         33         20        372 
         2         13         34         20        337 
         2         13         35         20        418 
         2         13         36         20        422 
         2         13         37         20        289 
         2         13         38         20        305 
         2         13         39         20        327 
         2         13         40         20        430 
         2         13         41         20        572 
         2         13         42         20        733 
         2         13         43         20        888 
         2         13         44         20        949 
         2         13         45         20        947 
         2         13         46         20        603 
         2         13         47         20        402 
         2         13         48         20        337 
         2         13         49         20        614 
         2         13         50         20        418 
         2         13         51         19        464 
         2         13         52         20        492 
         2         13         53         20        321 
         2         13         54         20        224 
         2         13         55         20        555 
         2         13         56         20        929 
         2         13         57         20        882 
         2         13         58         20        819 
         2         13         59         20        718 
         2         14          0         19        611 
         2         14          1         20        618 
         2         14          2         20        483 
         2         14          3         20        419 
         2         14          4         20        322 
         2         14          5         20        418 
         2         14          6         20        467 
         2         14          7         20        397 
         2         14          8         20        344 
         2         14          9         20        196 
         2         14         10         20        185 
         2         14         11         20        194 
         2         14         12         20        193 
         2         14         13         20        179 
         2         14         14         20        204 
         2         14         15         20        217 
         2         14         16         20        175 
         2         14         17         20        185 
         2         14         18         20        199 
         2         14         19         20        178 
         2         14         20         20        162 
         2         14         21         20        167 
         2         14         22         20        179 
         2         14         23         20        171 
         2         14         24         20        161 
         2         14         25         20        150 
         2         14         26         20        155 
         2         14         27         20        157 
         2         14         28         20        152 
         2         14         29         20        238 
         2         14         30         20        404 
         2         14         31         20        451 
         2         14         32         20        414 
         2         14         33         20        291 
         2         14         34         20        208 
         2         14         35         20        484 
         2         14         36         20        824 
         2         14         37         20        460 
         2         14         38         20       1019 
         2         14         39         20       1060 
         2         14         40         20       1240 
         2         14         41         20       1041 
         2         14         42         20        926 
         2         14         43         20        570 
         2         14         44         20        502 
         2         14         45         20        923 
         2         14         46         20        850 
         2         14         47         20        793 
         2         14         48         20        866 
         2         14         49         20        634 
         2         14         50         20        327 
         2         14         51         20        176 
         2         14         52         20        166 
         2         14         53         20        149 
         2         14         54         20        144 
         2         14         55         19        145 
         2         14         56         20        210 
         2         14         57         20        543 
         2         14         58         20        713 
         2         14         59         20        618 
         2         15          0         20        498 
         2         15          1         20        257 
         2         15          2         20        180 
         2         15          3         20        162 
         2         15          4         20        156 
         2         15          5         20        160 
         2         15          6         20        166 
         2         15          7         20        187 
         2         15          8         20        325 
         2         15          9         20        474 
         2         15         10         20        461 
         2         15         11         20        327 
         2         15         12         20        220 
         2         15         13         20        243 
         2         15         14         20        172 
         2         15         15         20        154 
         2         15         16         20        146 
         2         15         17         20        147 
         2         15         18         20        149 
         2         15         19         20        150 
         2         15         20         20        148 
         2         15         21         20        151 
         2         15         22         20        147 
         2         15         23         20        146 
         2         15         24         20        144 
         2         15         25         20        142 
         2         15         26         20        165 
         2         15         27         20        210 
         2         15         28         20        795 
         2         15         29         20       1037 
         2         15         30         20        859 
         2         15         31         20       1047 
         2         15         32         20        934 
         2         15         33         20        806 
         2         15         34         20        599 
         2         15         35         20        840 
         2         15         36         20        932 
         2         15         37         20        628 
         2         15         38         20        635 
         2         15         39         20        565 
         2         15         40         20        645 
         2         15         41         20        727 
         2         15         42         20        558 
         2         15         43         20        325 
         2         15         44         20        291 
         2         15         45         20        418 
         2         15         46         20        457 
         2         15         47         20        401 
         2         15         48         20        373 
         2         15         49         20        514 
         2         15         50         20        265 
         2         15         51         20        188 
         2         15         52         20        211 
         2         15         53         20        190 
         2         15         54         20        170 
         2         15         55         20        174 
         2         15         56         20        173 
         2         15         57         20        170 
         2         15         58         20        201 
         2         15         59         20        297 
         2         16          0         20        358 
         2         16          1         20        523 
         2         16          2         20        519 
         2         16          3         20       1258 
         2         16          4         20       1075 
         2         16          5         20        841 
         2         16          6         20        578 
         2         16          7         20        245 
         2         16          8         19        188 
         2         16          9         20        176 
         2         16         10         20        211 
         2         16         11         20        554 
         2         16         12         20        640 
         2         16         13         19        595 
         2         16         14         20        437 
         2         16         15         20        273 
         2         16         16         20        283 
         2         16         17         20        524 
         2         16         18         20        864 
         2         16         19         20        927 
         2         16         20         20       1302 
         2         16         21         20       1101 
         2         16         22         20        636 
         2         16         23         20        472 
         2         16         24         20        551 
         2         16         25         20        575 
         2         16         26         20        739 
         2         16         27         20        347 
         2         16         28         20        278 
         2         16         29         20        268 
         2         16         30         20        212 
         2         16         31         20        199 
         2         16         32         20        226 
         2         16         33         20        239 
         2         16         34         20        211 
         2         16         35         20        241 
         2         16         36         20        408 
         2         16         37         20        475 
         2         16         38         20        468 
         2         16         39         20        493 
         2         16         40         20        507 
         2         16         41         20        504 
         2         16         42         20        334 
         2         16         43         20        332 
         2         16         44         20        239 
         2         16         45         20        256 
         2         16         46         20        341 
         2         16         47         20        417 
         2         16         48         20        329 
         2         16         49         20        456 
         2         16         50         20        473 
         2         16         51         20        528 
         2         16         52         20        516 
         2         16         53         20        385 
         2         16         54         20        301 
         2         16         55         20        211 
         2         16         56         20        421 
         2         16         57         20        691 
         2         16         58         20        523 
         2         16         59         20        521 
         2         17          0         20        279 
         2         17          1         20        203 
         2         17          2         20        279 
         2         17          3         20        379 
         2         17          4         20        431 
         2         17          5         20        436 
         2         17          6         20        380 
         2         17          7         20        267 
         2         17          8         20        194 
         2         17          9         20        176 
         2         17         10         20        170 
         2         17         11         20        164 
         2         17         12         20        160 
         2         17         13         20        156 
         2         17         14         20        154 
         2         17         15         20        151 
         2         17         16         20        149 
         2         17         17         20        150 
         2         17         18         20        152 
         2         17         19         20        154 
         2         17         20         20        152 
         2         17         21         20        152 
         2         17         22         20        166 
         2         17         23         20        413 
         2         17         24         20        716 
         2         17         25         20        438 
